sample_id,species,matrix,life_stage,condition,plate,replicate,is_C_companion,has_C_companion,companion_of,timepoint_hrs,stage_group,condition_group
A1_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,A,1.0,False,False,,8.0,Zoospore,liq_Zoospore
A1_spore,Batrachochytrium dendrobatidis,spore,Zoospore,spore_Zoospore,A,1.0,False,True,A1C_liq.mzML,8.0,Zoospore,spore_Zoospore
A1C_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,A,1.0,True,False,A1_spore.mzML,8.0,Zoospore,liq_Zoospore
A2_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,A,2.0,False,False,,48.0,Developed,liq_Developed
A2_spore,Batrachochytrium dendrobatidis,spore,Sporangium,spore_Sporangium,A,2.0,False,True,A2C_liq.mzML,48.0,Developed,spore_Developed
A2C_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,A,2.0,True,False,A2_spore.mzML,48.0,Developed,liq_Developed
A3_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,A,3.0,False,False,,96.0,Developed,liq_Developed
A3_spore,Batrachochytrium dendrobatidis,spore,Mature,spore_Mature,A,3.0,False,True,A3C_liq.mzML,96.0,Developed,spore_Developed
A3C_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,A,3.0,True,False,A3_spore.mzML,96.0,Developed,liq_Developed
C1_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,C,1.0,False,False,,8.0,Zoospore,liq_Zoospore
C1_spore,Batrachochytrium dendrobatidis,spore,Zoospore,spore_Zoospore,C,1.0,False,True,C1C_liq.mzML,8.0,Zoospore,spore_Zoospore
C1C_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,C,1.0,True,False,C1_spore.mzML,8.0,Zoospore,liq_Zoospore
C2_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,C,2.0,False,False,,48.0,Developed,liq_Developed
